Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.1,,dXYZ,,,,,-0.84,,
 Surface comparison 1.2,,dXYZ,,,,,-1.55,,
 Surface comparison 1.3,,dXYZ,,,,,-0.60,,
 Surface comparison 1.4,,dXYZ,,,,,-0.57,,
 Surface comparison 1.5,,dXYZ,,,,,-0.57,,
 Surface comparison 1.6,,dXYZ,,,,,-0.57,,
 Surface comparison 1.7,,dXYZ,,,,,-1.91,,
 Surface comparison 1.8,,dXYZ,,,,,-2.03,,
 Surface comparison 1.9,,dXYZ,,,,,-2.11,,
 Surface comparison 1.10,,dXYZ,,,,,-1.65,,
 Surface comparison 1.11,,dXYZ,,,,,-1.31,,
 Surface comparison 1.12,,dXYZ,,,,,-1.11,,
 Surface comparison 1.13,,dXYZ,,,,,-0.97,,
 Surface comparison 1.14,,dXYZ,,,,,-1.55,,
 Surface comparison 1.15,,dXYZ,,,,,-2.30,,
 Surface comparison 1.16,,dXYZ,,,,,-1.72,,
 Surface comparison 1.17,,dXYZ,,,,,-1.22,,
 Surface comparison 1.18,,dXYZ,,,,,-0.94,,
 Surface comparison 1.19,,dXYZ,,,,,-0.75,,
 Surface comparison 1.20,,dXYZ,,,,,-0.58,,
 Surface comparison 1.21,,dXYZ,,,,,0.29,,
 Surface comparison 1.22,,dXYZ,,,,,-1.36,,
 Surface comparison 1.23,,dXYZ,,,,,-1.88,,
 Surface comparison 1.24,,dXYZ,,,,,-1.33,,
 Surface comparison 1.25,,dXYZ,,,,,-0.86,,
 Surface comparison 1.26,,dXYZ,,,,,-0.61,,
 Surface comparison 1.27,,dXYZ,,,,,-0.36,,
 Surface comparison 1.28,,dXYZ,,,,,-0.23,,
 Surface comparison 1.29,,dXYZ,,,,,0.24,,
 Surface comparison 1.30,,dXYZ,,,,,-1.31,,
 Surface comparison 1.31,,dXYZ,,,,,-1.54,,
 Surface comparison 1.32,,dXYZ,,,,,-1.01,,
 Surface comparison 1.33,,dXYZ,,,,,-0.59,,
 Surface comparison 1.34,,dXYZ,,,,,-0.28,,
 Surface comparison 1.35,,dXYZ,,,,,-0.06,,
 Surface comparison 1.36,,dXYZ,,,,,0.06,,
 Surface comparison 1.37,,dXYZ,,,,,0.19,,
 Surface comparison 1.38,,dXYZ,,,,,-1.26,,
 Surface comparison 1.39,,dXYZ,,,,,-1.27,,
 Surface comparison 1.40,,dXYZ,,,,,-0.73,,
