Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.1,,dXYZ,,,,,-0.42,,
 Surface comparison 1.2,,dXYZ,,,,,-0.38,,
 Surface comparison 1.3,,dXYZ,,,,,-0.37,,
 Surface comparison 1.4,,dXYZ,,,,,-0.23,,
 Surface comparison 1.5,,dXYZ,,,,,-0.21,,
 Surface comparison 1.6,,dXYZ,,,,,-0.23,,
 Surface comparison 1.7,,dXYZ,,,,,-0.25,,
 Surface comparison 1.8,,dXYZ,,,,,-0.40,,
 Surface comparison 1.9,,dXYZ,,,,,-2.04,,
 Surface comparison 1.10,,dXYZ,,,,,-2.15,,
 Surface comparison 1.11,,dXYZ,,,,,-2.12,,
 Surface comparison 1.12,,dXYZ,,,,,-2.09,,
 Surface comparison 1.13,,dXYZ,,,,,-1.85,,
 Surface comparison 1.14,,dXYZ,,,,,-1.57,,
 Surface comparison 1.15,,dXYZ,,,,,-1.20,,
 Surface comparison 1.16,,dXYZ,,,,,-0.33,,
 Surface comparison 1.17,,dXYZ,,,,,-1.96,,
 Surface comparison 1.18,,dXYZ,,,,,-3.08,,
 Surface comparison 1.19,,dXYZ,,,,,-2.51,,
 Surface comparison 1.20,,dXYZ,,,,,-1.94,,
 Surface comparison 1.21,,dXYZ,,,,,-1.48,,
 Surface comparison 1.22,,dXYZ,,,,,-1.18,,
 Surface comparison 1.23,,dXYZ,,,,,-0.96,,
 Surface comparison 1.24,,dXYZ,,,,,-0.27,,
 Surface comparison 1.25,,dXYZ,,,,,-1.89,,
 Surface comparison 1.26,,dXYZ,,,,,-2.73,,
 Surface comparison 1.27,,dXYZ,,,,,-2.13,,
 Surface comparison 1.28,,dXYZ,,,,,-1.56,,
 Surface comparison 1.29,,dXYZ,,,,,-1.14,,
 Surface comparison 1.30,,dXYZ,,,,,-0.86,,
 Surface comparison 1.31,,dXYZ,,,,,-0.63,,
 Surface comparison 1.32,,dXYZ,,,,,-0.22,,
 Surface comparison 1.33,,dXYZ,,,,,-1.84,,
 Surface comparison 1.34,,dXYZ,,,,,-2.38,,
 Surface comparison 1.35,,dXYZ,,,,,-1.78,,
 Surface comparison 1.36,,dXYZ,,,,,-1.22,,
 Surface comparison 1.37,,dXYZ,,,,,-0.87,,
 Surface comparison 1.38,,dXYZ,,,,,-0.55,,
 Surface comparison 1.39,,dXYZ,,,,,-0.38,,
 Surface comparison 1.40,,dXYZ,,,,,-0.19,,
 Surface comparison 1.41,,dXYZ,,,,,-1.81,,
 Surface comparison 1.42,,dXYZ,,,,,-2.09,,
 Surface comparison 1.43,,dXYZ,,,,,-1.46,,
 Surface comparison 1.44,,dXYZ,,,,,-0.98,,
 Surface comparison 1.45,,dXYZ,,,,,-0.61,,
 Surface comparison 1.46,,dXYZ,,,,,-0.36,,
 Surface comparison 1.47,,dXYZ,,,,,-0.19,,
 Surface comparison 1.48,,dXYZ,,,,,-0.16,,
 Surface comparison 1.49,,dXYZ,,,,,-1.77,,
 Surface comparison 1.50,,dXYZ,,,,,-1.86,,
 Surface comparison 1.51,,dXYZ,,,,,-1.24,,
 Surface comparison 1.52,,dXYZ,,,,,-0.79,,
 Surface comparison 1.53,,dXYZ,,,,,-0.40,,
 Surface comparison 1.54,,dXYZ,,,,,-0.18,,
 Surface comparison 1.55,,dXYZ,,,,,-0.02,,
 Surface comparison 1.56,,dXYZ,,,,,-0.15,,
 Surface comparison 1.57,,dXYZ,,,,,-1.74,,
