Element,Datum,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1.1,,dXYZ,,,,,-0.42,,
 Surface comparison 1.2,,dXYZ,,,,,-0.47,,
 Surface comparison 1.3,,dXYZ,,,,,-0.16,,
 Surface comparison 1.4,,dXYZ,,,,,-0.17,,
 Surface comparison 1.5,,dXYZ,,,,,-0.01,,
 Surface comparison 1.6,,dXYZ,,,,,0.02,,
 Surface comparison 1.7,,dXYZ,,,,,0.16,,
 Surface comparison 1.8,,dXYZ,,,,,0.14,,
 Surface comparison 1.9,,dXYZ,,,,,0.18,,
 Surface comparison 1.10,,dXYZ,,,,,0.18,,
 Surface comparison 1.11,,dXYZ,,,,,0.24,,
 Surface comparison 1.12,,dXYZ,,,,,0.24,,
 Surface comparison 1.13,,dXYZ,,,,,0.27,,
 Surface comparison 1.14,,dXYZ,,,,,0.22,,
 Surface comparison 1.15,,dXYZ,,,,,0.32,,
 Surface comparison 1.16,,dXYZ,,,,,0.24,,
 Surface comparison 1.17,,dXYZ,,,,,0.11,,
 Surface comparison 1.18,,dXYZ,,,,,0.25,,
 Surface comparison 1.19,,dXYZ,,,,,0.24,,
 Surface comparison 1.20,,dXYZ,,,,,0.21,,
 Surface comparison 1.21,,dXYZ,,,,,0.27,,
 Surface comparison 1.22,,dXYZ,,,,,0.28,,
 Surface comparison 1.23,,dXYZ,,,,,0.27,,
 Surface comparison 1.24,,dXYZ,,,,,0.10,,
 Surface comparison 1.25,,dXYZ,,,,,0.13,,
 Surface comparison 1.26,,dXYZ,,,,,0.29,,
 Surface comparison 1.27,,dXYZ,,,,,0.20,,
 Surface comparison 1.28,,dXYZ,,,,,0.23,,
 Surface comparison 1.29,,dXYZ,,,,,0.26,,
 Surface comparison 1.30,,dXYZ,,,,,0.26,,
 Surface comparison 1.31,,dXYZ,,,,,0.25,,
 Surface comparison 1.32,,dXYZ,,,,,0.25,,
 Surface comparison 1.33,,dXYZ,,,,,0.29,,
 Surface comparison 1.34,,dXYZ,,,,,0.27,,
 Surface comparison 1.35,,dXYZ,,,,,0.25,,
 Surface comparison 1.36,,dXYZ,,,,,0.23,,
 Surface comparison 1.37,,dXYZ,,,,,0.27,,
 Surface comparison 1.38,,dXYZ,,,,,0.29,,
 Surface comparison 1.39,,dXYZ,,,,,0.21,,
 Surface comparison 1.40,,dXYZ,,,,,-0.06,,
 Surface comparison 1.41,,dXYZ,,,,,0.28,,
 Surface comparison 1.42,,dXYZ,,,,,0.25,,
 Surface comparison 1.43,,dXYZ,,,,,0.18,,
 Surface comparison 1.44,,dXYZ,,,,,0.21,,
 Surface comparison 1.45,,dXYZ,,,,,0.26,,
 Surface comparison 1.46,,dXYZ,,,,,0.02,,
 Surface comparison 1.47,,dXYZ,,,,,0.26,,
 Surface comparison 1.48,,dXYZ,,,,,0.30,,
 Surface comparison 1.49,,dXYZ,,,,,-0.03,,
 Surface comparison 1.50,,dXYZ,,,,,0.32,,
 Surface comparison 1.51,,dXYZ,,,,,0.35,,
 Surface comparison 1.52,,dXYZ,,,,,0.28,,
 Surface comparison 1.53,,dXYZ,,,,,0.28,,
 Surface comparison 1.54,,dXYZ,,,,,0.25,,
 Surface comparison 1.55,,dXYZ,,,,,0.25,,
 Surface comparison 1.56,,dXYZ,,,,,0.25,,
 Surface comparison 1.57,,dXYZ,,,,,0.21,,
 Surface comparison 1.58,,dXYZ,,,,,0.17,,
 Surface comparison 1.59,,dXYZ,,,,,0.05,,
 Surface comparison 1.60,,dXYZ,,,,,0.04,,
 Surface comparison 1.61,,dXYZ,,,,,-0.08,,
 Surface comparison 1.62,,dXYZ,,,,,-0.13,,
 Surface comparison 1.63,,dXYZ,,,,,-0.28,,
 Surface comparison 1.64,,dXYZ,,,,,-0.37,,
 Surface comparison 1.65,,dXYZ,,,,,-0.04,,
 Surface comparison 1.66,,dXYZ,,,,,-0.03,,
